id,label,number_of_doctors,landsting_id,ownership,phonesystem,booking_type,unit_type,unit_type_number,code,_label
1920,Liljeholmens vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Liljeholmens vårdcentral
1921,Liljeholmskajens vårdcentral,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Liljeholmskajens vårdcentral
1922,Helsa Vårdcentral Vallentuna,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Helsa Vårdcentral Vallentuna
1923,Husläkarmottagningen Johannes,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Husläkarmottagningen Johannes
1924,Tallhöjdens vårdcentral,,10,Offentlig,,,Primärvård,2,,Tallhöjdens vårdcentral
1925,Telgeakuten husläkarmottagning,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Telgeakuten husläkarmottagning
1926,Märsta Närvård,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Märsta Närvård
1927,Kvartersakuten Mörby Centrum,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Högst 14 dagar,Primärvård,2,,Kvartersakuten Mörby Centrum
1928,Tensta vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Tensta vårdcentral
1929,Rissne vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Rissne vårdcentral
1930,Carema Vårdcentral Väsby,,10,Privat,,,Primärvård,2,,Carema Vårdcentral Väsby
1931,Helsa Vårdcentral Hornstull,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Helsa Vårdcentral Hornstull
1932,Handens vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 14 dagar,Primärvård,2,,Handens vårdcentral
1933,Sickla Hälsocenter,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Sickla Hälsocenter
1934,Rinkeby vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Rinkeby vårdcentral
1935,Capio vårdcentral Solna,,10,Privat,,,Primärvård,2,,Capio vårdcentral Solna
1936,Vården i Centrum,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Vården i Centrum
1937,Huddinge vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Huddinge vårdcentral
1938,Vårdcentralen i Skarpnäck,,10,Privat,,,Primärvård,2,,Vårdcentralen i Skarpnäck
1939,Engelbrektskliniken Husläkarmottagning,,10,Privat,,,Primärvård,2,,Engelbrektskliniken Husläkarmottagning
1940,Vårbergs vårdcentral,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Vårbergs vårdcentral
1941,Kvartersakuten Serafen,8 eller fler läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Kvartersakuten Serafen
1942,Stuvsta vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Stuvsta vårdcentral
1943,Tumba vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Tumba vårdcentral
1944,Capio Vårdcentral Högdalen,,10,Privat,,,Primärvård,2,,Capio Vårdcentral Högdalen
1945,Rotebro vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Rotebro vårdcentral
1946,"Ronna vårdcentral, Södertälje",2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,"Ronna vårdcentral, Södertälje"
1947,Nya Järva vårdmottagning,2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Nya Järva vårdmottagning
1948,Curera Farsta Husläkarmottagning,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Curera Farsta Husläkarmottagning
1949,Solna centrums vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 7 dagar,Primärvård,2,,Solna centrums vårdcentral
1950,Aleris Vårdcentral Stureplan,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Aleris Vårdcentral Stureplan
1951,Aleris Vårdcentral Järva,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Aleris Vårdcentral Järva
1952,Capio Vårdcentral Gubbängen,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Gubbängen
1953,Aleris Vårdcentral Järna,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Aleris Vårdcentral Järna
1954,Sätra vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Sätra vårdcentral
1955,Husläkarna i Margretelund,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Husläkarna i Margretelund
1956,Sibyllekliniken Husläkarmottagning,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Sibyllekliniken Husläkarmottagning
1957,"Husläkarmottagning Bryggargatan, Nynäshamn",,10,Privat,,,Primärvård,2,,"Husläkarmottagning Bryggargatan, Nynäshamn"
1958,Ekerö vårdcentral,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Ekerö vårdcentral
1959,Råcksta Vällingby Närvårdsmottagning,,10,Privat,,,Primärvård,2,,Råcksta Vällingby Närvårdsmottagning
1960,Bollmora vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Bollmora vårdcentral
1961,Mottagningen Sjöstaden Barnängsgatan,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Mottagningen Sjöstaden Barnängsgatan
1962,Flemingsbergs vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Flemingsbergs vårdcentral
1963,Hälsocentralen Akka,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Hälsocentralen Akka
1964,Attundahälsan Familjeläkare,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Attundahälsan Familjeläkare
1965,Djurö vårdcentral,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Djurö vårdcentral
1966,Stocksunds vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Stocksunds vårdcentral
1967,Beckomberga vårdcentral,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Beckomberga vårdcentral
1968,Carema Vårdcentralen Slussen,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentralen Slussen
1969,Carema Vårdcentral Wasa,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentral Wasa
1970,Aleris Vårdcentral Björkhagen,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Aleris Vårdcentral Björkhagen
1971,Björnstigens vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Björnstigens vårdcentral
1972,DoktorTeam,2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,DoktorTeam
1973,Djursholms husläkarmottagning,,10,Offentlig,,,Primärvård,2,,Djursholms husläkarmottagning
1974,Norrvikens vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 14 dagar,Primärvård,2,,Norrvikens vårdcentral
1975,Äppelvikens läkarmottagning,,10,Privat,,,Primärvård,2,,Äppelvikens läkarmottagning
1976,Capio Vårdcentral Farsta,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Farsta
